1,CNY,EUR,2016-09-14 12:23:03,36695.40
2,CNY,EUR,2016-08-20 07:17:00,70822.84
3,TTD,COP,2017-03-18 14:41:02,96567.34
4,XAF,PLN,2017-03-02 04:34:07,11095.34
5,JPY,PEN,2016-08-27 19:36:55,74680.01
6,IDR,EUR,2017-05-09 20:31:47,39022.97
7,CNY,PHP,2016-06-28 20:15:11,28330.85
8,PLN,CNY,2016-09-24 06:26:59,36802.21
9,IDR,BRL,2016-12-04 21:53:24,14555.80
10,SOS,IDR,2016-08-09 20:58:59,12193.82
11,CNY,CNY,2017-05-31 20:00:48,24855.50
12,NOK,IDR,2017-05-02 03:00:02,40079.11
13,PHP,EUR,2016-06-17 14:01:22,70416.13
14,CNY,SEK,2016-09-25 05:21:46,82422.97
15,CNY,CNY,2017-02-19 14:53:25,28972.60
16,NZD,PEN,2016-07-23 00:17:04,82351.89
17,MXN,CZK,2016-08-14 04:14:22,58962.70
18,CNY,VEF,2017-02-19 11:56:38,85203.34
19,XOF,ZAR,2016-09-14 14:59:38,62300.52
20,IDR,EUR,2017-01-24 20:54:12,72513.62
21,IDR,RUB,2016-08-13 22:29:23,94402.76
22,CNY,EUR,2017-04-25 21:44:38,38782.93
23,EUR,EUR,2017-05-18 04:39:24,75274.47
24,BGN,CNY,2016-12-18 02:40:32,28689.54
25,KHR,AFN,2017-02-21 07:44:20,71514.40
26,VEF,CNY,2017-01-29 12:48:20,78580.72
27,USD,RUB,2017-05-17 14:41:42,12861.93
28,EUR,PKR,2017-04-24 13:03:08,92174.03
29,EUR,EUR,2016-12-14 09:49:05,49137.49
30,CNY,PLN,2017-05-15 12:26:47,74360.17
31,ARS,THB,2017-05-29 22:35:30,87955.87
32,PLN,EUR,2016-12-04 00:46:52,77089.82
33,USD,THB,2016-08-01 01:29:44,79999.32
34,SEK,LKR,2017-01-30 15:59:45,37545.25
35,CAD,RUB,2016-11-07 06:22:13,62525.49
36,SLL,RUB,2016-10-27 03:22:51,46250.84
37,KES,IDR,2016-12-06 04:45:37,39040.44
38,SEK,RUB,2017-02-26 20:57:27,56587.89
39,RUB,ZAR,2016-11-09 05:02:50,98166.16
40,USD,ETB,2017-04-02 20:49:29,63101.26
41,EUR,RUB,2017-04-20 06:14:59,49614.93
42,EUR,CNY,2016-09-28 21:02:27,17910.71
43,RSD,GTQ,2016-09-13 13:27:38,37739.65
44,CNY,BYR,2016-09-06 23:08:04,10811.73
45,BAM,JPY,2016-09-27 08:19:29,81555.39
